name	shape	unique_labels	fgvox
case_00435_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	154773
case_00436_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	137586
case_00437_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	183555
case_00438_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	180258
case_00439_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	187208
case_00440_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	107577
case_00441_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	148421
case_00442_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	1061862
case_00443_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	211818
case_00444_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	212406
case_00445_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	455616
case_00446_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	127214
case_00447_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	213942
case_00448_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	262628
case_00449_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	144314
case_00450_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	201414
case_00451_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	477425
case_00452_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	108718
case_00453_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	465010
case_00454_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	176223
case_00455_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	165333
case_00456_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	157762
case_00457_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	344641
case_00458_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	111354
case_00459_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	80183
case_00460_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	155547
case_00461_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	240207
case_00462_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	140654
case_00463_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	112431
case_00464_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	86045
case_00465_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	426060
case_00466_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	95432
case_00467_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	356824
case_00468_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	284050
case_00469_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	144010
case_00470_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	154203
case_00471_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	135577
case_00472_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	255411
case_00473_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	169195
case_00474_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	249893
case_00475_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	249182
case_00476_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	185468
case_00477_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	303082
case_00478_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	218549
case_00479_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	419647
case_00480_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	413735
case_00481_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	816849
case_00482_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	942285
case_00483_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	300403
case_00484_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	88764
case_00485_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	195926
case_00486_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	201379
case_00487_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	177026
case_00488_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	255908
case_00489_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	337629
case_00490_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	193234
case_00491_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	186745
case_00492_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	216547
case_00493_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	273916
case_00494_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	125918
case_00495_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	168415
case_00496_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	163763
case_00497_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	216211
case_00498_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	145413
case_00499_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	231262
case_00500_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	261832
case_00501_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	333313
case_00502_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	312877
case_00503_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	175890
case_00504_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	461785
case_00505_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	462430
case_00506_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	148759
case_00507_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	140578
case_00508_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	122561
case_00509_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	263371
case_00510_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	946523
case_00511_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	113414
case_00512_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	141071
case_00513_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	595413
case_00514_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	610499
case_00515_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	617965
case_00516_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	1682233
case_00517_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	697728
case_00518_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	218097
case_00519_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	423030
case_00520_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	146609
case_00521_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	132282
case_00522_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	181318
case_00523_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	298886
case_00524_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	128224
case_00525_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	394586
case_00526_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	637127
case_00527_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	239167
case_00528_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	558606
case_00529_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	182567
case_00530_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	475199
case_00531_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	691787
case_00532_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	296367
case_00533_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	403127
case_00534_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	113056
case_00535_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	631845
case_00536_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	171070
case_00537_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	230160
case_00538_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	941553
case_00539_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	313794
case_00540_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	186099
case_00541_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	665926
case_00542_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	745055
case_00543_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	1858244
case_00544_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	541193
case_00545_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	1506305
case_00546_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	235201
case_00547_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	236713
case_00548_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	130270
case_00549_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	128071
case_00550_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	178691
case_00551_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	346372
case_00552_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	303960
case_00553_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	893738
case_00554_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	171249
case_00555_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	442240
case_00556_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	536352
case_00557_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	306093
case_00558_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	318915
case_00559_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	1324844
case_00560_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	326701
case_00561_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	1166811
case_00562_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	597592
case_00563_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	254823
case_00564_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	777673
case_00565_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	257113
case_00566_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	190348
case_00567_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	322787
case_00568_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	465676
case_00569_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	162125
case_00570_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	187763
case_00571_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	150311
case_00572_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	4459291
case_00573_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	301905
case_00574_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	188411
case_00575_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	331151
case_00576_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	152188
case_00577_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	423241
case_00578_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	614678
case_00579_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	252157
case_00580_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	301452
case_00581_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	98009
case_00582_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	505331
case_00583_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	720708
case_00584_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	221988
case_00585_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	274930
case_00586_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	364717
case_00587_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	130251
case_00588_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	554355

[PROBLEMS]
